id,est_gender,est_age
951,male,33
952,male,47
953,male,51
954,male,60
955,male,50
957,female,35
958,male,47
959,female,34
960,female,33
961,male,40
962,male,52
963,female,46
964,male,34
965,male,44
966,male,41
967,male,32
968,female,61
970,male,55
971,male,28
972,male,58
973,female,47
974,male,52
975,female,36
976,male,40
977,female,30
978,male,35
980,female,33
981,male,35
982,male,33
983,female,28
984,male,60
986,female,38
987,male,32
988,male,45
991,male,58
992,male,60
993,male,34
994,male,59
995,female,29
996,male,30
997,male,35
998,male,44
1000,male,42
1001,male,38
1002,female,32
1003,male,35
1004,male,34
1005,male,53
1006,male,41
1007,male,43
1008,male,61
1009,male,48
1010,male,60
1011,female,59
1012,female,32
1013,female,40
1014,male,33
1015,male,69
1016,male,12
1017,male,46
1018,male,35
1019,male,41
1020,male,32
1030,female,41
1031,male,53
1032,female,48
1033,female,41
1034,female,31
1036,male,37
1037,female,36
1038,male,53
1040,female,35
1041,female,32
1042,female,42
1043,male,65
1044,female,41
1045,female,47
1046,male,34
1047,female,39
1048,male,32
1049,female,44
1050,female,28
1051,male,33
1052,female,49
1053,female,39
1054,female,41
1055,female,26
1056,male,37
1057,male,47
1058,female,28
1059,male,57
1060,male,34
1061,female,52
1062,male,37
1064,female,34
1065,male,51
1066,female,36
1067,male,44
1068,female,36
1069,male,37
1070,female,28
1071,female,39
1072,male,37
1073,male,44
1074,female,44
1075,female,50
1076,female,42
1077,female,46
1078,female,68
1079,female,32
1080,male,48
1081,female,40
1082,male,60
1084,male,39
1085,male,34
1086,male,28
1087,male,54
1088,male,47
1089,female,28
1090,male,31
1091,male,38
1092,male,31
1093,male,40
1094,male,50
1095,female,38
1096,male,43
1098,male,38
1100,female,21
1101,male,54
1102,female,33
1103,male,47
1104,male,46
1105,female,36
1106,female,62
1107,male,44
1108,male,50
1109,male,35
1110,male,32
1111,female,30
1112,male,52
1113,male,37
1114,male,39
1115,male,42
1116,female,38
1117,male,47
1118,male,56
1119,male,35
1120,female,34
1121,male,59
1122,male,36
1124,female,45
1125,male,49
1126,female,33
1127,male,50
1129,male,48
1130,male,39
1131,male,59
1132,male,53
1133,female,42
1134,male,26
1135,male,58
1136,female,50
1137,male,36
1138,female,46
1139,male,40
1140,male,57
1142,male,41
1143,male,32
1144,male,39
1145,male,68
1146,male,39
1147,male,33
1148,male,41
1149,female,30
1150,male,48
1152,male,30
1153,male,48
1154,female,32
1155,male,40
1156,male,31
