id,est_gender,est_age
3731,male,18
3732,male,9
3733,female,21
3734,male,29
3735,,0
3736,,0
3737,,0
3738,,0
3739,female,40
3741,male,19
3742,male,46
3743,,0
3744,male,46
3745,,0
3746,female,48
3747,female,35
3748,female,46
3750,female,33
3751,,0
3752,male,42
3754,male,18
3755,male,33
3756,male,36
3757,male,46
3758,,0
3760,female,31
3761,male,29
3762,male,43
3763,female,46
3764,female,39
3765,female,35
3766,,0
3767,male,54
3768,male,35
3770,male,68
3771,female,34
3772,male,39
3773,female,29
3774,male,49
3775,female,32
3776,,0
3777,male,44
3778,male,53
3779,,0
3780,female,34
3781,,0
3782,,0
3783,female,19
3784,,0
3785,,0
3786,,0
3787,,0
3788,,0
3789,,0
3790,,0
3791,,0
3792,,0
3793,female,32
3794,male,24
3795,,0
3796,male,31
3797,male,22
3798,female,16
3799,,0
3801,,0
3802,female,33
3803,female,28
3804,male,30
3805,,0
3806,,0
3807,,0
3808,male,30
3809,male,25
3810,,0
3811,female,25
3812,female,29
3813,,0
3814,male,28
3815,,0
3816,,0
3817,female,23
3818,male,33
3819,female,24
3820,,0
3821,,0
3822,female,21
3823,female,18
3824,,0
3825,female,51
3826,male,32
3827,female,38
3829,male,28
3830,female,39
3831,female,37
3832,male,21
3833,male,31
3834,male,47
3835,,0
3837,female,44
3839,female,28
3841,female,35
3842,,0
3843,male,33
3844,female,25
3845,male,36
3848,female,23
3849,female,34
3850,,0
3851,,0
3852,,0
3853,male,43
3854,female,41
3856,,0
3857,female,53
3858,male,16
3859,male,19
3860,female,30
3861,female,25
3862,,0
3863,male,34
3864,male,33
3865,female,18
3866,,0
3867,male,33
3868,female,36
3869,male,33
3870,,0
3871,,0
3872,male,38
3873,female,34
3874,,0
3875,male,35
3876,,0
3877,male,39
3878,male,39
3879,female,44
3880,male,41
3881,male,47
3882,,0
3883,male,68
3884,male,32
3885,male,49
3886,male,53
3887,male,36
3888,male,29
3890,female,44
3892,male,41
3893,,0
3894,,0
3895,male,56
3896,male,48
3897,,0
3898,female,35
3899,,0
3900,female,29
3901,male,34
3902,,0
3903,,0
3904,,0
3905,male,27
3906,,0
3907,male,35
3908,male,47
3909,male,40
3910,male,50
3911,female,48
3912,female,45
3913,female,27
3914,,0
3915,female,38
3916,male,32
3917,female,36
3918,female,48
3919,female,28
3920,male,40
3921,,0
3922,male,35
3923,female,29
3924,male,29
3925,female,56
3926,male,37
3927,male,50
3928,male,36
3929,,0
3930,male,54
3931,male,46
3932,male,41
3933,female,7
3934,male,61
3935,female,35
3936,male,41
3937,female,33
3938,male,39
3939,female,40
3940,male,36
3941,female,24
3942,female,34
3943,,0
3944,male,38
3945,male,36
3946,male,33
3947,female,30
3948,male,43
3949,female,31
3950,male,36
3951,male,36
3952,,0
3953,,0
3954,,0
3955,male,46
3956,male,39
3957,male,27
3958,female,31
3960,male,51
3961,,0
3962,male,48
3963,,0
3964,female,18
3965,,0
3966,,0
3967,male,48
3968,male,54
3969,male,50
3970,,0
3971,male,64
3972,male,50
3973,female,30
3974,male,48
3975,male,36
3976,female,33
